run_name,use_bid_ask,test_method,method,pair,date,n_rows,n_maturities,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate
rounded_mid,false,rounded,original,AUDJPY,2016-11-01,140,14,218,0,0.0,218,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-02,140,14,226,0,0.0,226,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-03,140,14,225,0,0.0,225,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-04,140,14,226,0,0.0,226,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-07,140,14,232,0,0.0,232,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-08,140,14,252,0,0.0,252,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-09,140,14,224,0,0.0,224,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-10,140,14,214,0,0.0,214,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-11,140,14,220,0,0.0,220,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-14,140,14,210,0,0.0,210,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-15,140,14,215,0,0.0,215,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-16,140,14,219,0,0.0,219,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-17,140,14,214,0,0.0,214,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-18,140,14,215,0,0.0,215,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-21,140,14,209,0,0.0,209,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-22,140,14,213,0,0.0,213,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-23,140,14,215,0,0.0,215,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-24,140,14,215,0,0.0,215,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-25,140,14,220,0,0.0,220,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-28,140,14,222,0,0.0,222,0,0.0
rounded_mid,false,rounded,original,AUDJPY,2016-11-29,140,14,223,0,0.0,223,0,0.0
