cp_flag,number_of_quotes,median_volume,mean_volume,median_open_interest,mean_open_interest,median_relative_spread,mean_relative_spread,q90_relative_spread
C,5088709,77.0,335.648508099009,2997.5,3196.081715224824,0.06509388541165145,0.06818922492989628,0.3299319727891157
P,7617175,74.0,354.2142752398363,3101.25,3599.4077111265,0.07000727978645963,0.0541372412290172,0.2678571428571428
