cp_flag,denomination,our_mean_return_percent,paper_mean_return_percent,return_correlation,sharpe_correlation
C,K2,93.70594564446301,76.6565,0.9845801031006212,0.9514286510173842
C,T1,84.90258566846896,81.7175,0.9888261318099487,0.9617787415896992
P,K1,51.68337298668553,42.1385,0.9968044166495806,0.9905794867956412
P,T1,28.654689583300257,25.216500000000003,0.9660260585938552,0.9759871982085176
