stage,specification,cp_flag,denomination,mean_return,sharpe,maximum_drawdown,maximum_daily_loss
1,Paper baseline,C,K2,0.47288262801523334,1.9306729032079997,0.7719897554522579,0.7719897554522579
1,Paper baseline,C,T1,0.5526304425617826,2.2916735526312224,0.00944644559853458,0.00944644559853458
1,Paper baseline,P,K1,0.486664204361887,1.0219378584182828,0.005102170220207869,0.005102170220207869
1,Paper baseline,P,T1,0.30890770142391005,2.9654979592656012,-0.0,-0.0
2,Marked portfolio equity,C,K2,0.46695896330330683,1.7849591657129662,0.16574302015197662,0.15520277821581352
2,Marked portfolio equity,C,T1,0.5569236305457498,2.4756493154410473,0.04704082882833316,0.031188250011498164
2,Marked portfolio equity,P,K1,0.48447146845088795,1.1231010751195363,0.20606305469134922,0.09092308518583203
2,Marked portfolio equity,P,T1,0.3119893797313445,3.0062265905597845,0.08388479184117847,0.046980132518614104
3,Same-day bid-ask,C,K2,0.22903280448165045,0.9899241757702649,0.20386378792308446,0.15705552885770868
3,Same-day bid-ask,C,T1,0.3100955352993833,1.5070970757401352,0.08385235227236021,0.034819900990193275
3,Same-day bid-ask,P,K1,0.35095585548597286,0.8491293067976271,0.22120570020410146,0.09329565208656077
3,Same-day bid-ask,P,T1,0.1700819733313995,1.688413303612958,0.09622579785365337,0.04770758596860403
4,Next-day bid-ask,C,K2,0.09229136781733804,0.4796057743200218,0.2724292305610233,0.21692460851634765
4,Next-day bid-ask,C,T1,0.12249673570004423,1.0008486513457244,0.14798288751424227,0.044697616817569896
4,Next-day bid-ask,P,K1,0.08635282906444168,0.30254148791295976,0.2926846302094661,0.11363454032439324
4,Next-day bid-ask,P,T1,0.07326022731247428,0.9045875436936666,0.1395469342502551,0.07697112355743085
5,"Mid-signal, liquid next-day",C,K2,0.053191647499322404,0.772147415213337,0.09005060171438284,0.07868220997749253
5,"Mid-signal, liquid next-day",C,T1,0.0373501633599734,1.0228092797441009,0.01402182920109274,0.007796040101597401
5,"Mid-signal, liquid next-day",P,K1,0.05013867118264933,1.8039471227944333,0.038593909354559086,0.035268841578564025
5,"Mid-signal, liquid next-day",P,T1,0.04025441829223212,2.628344526995921,0.05621821256025561,0.036790066681995914
6,"Bid-ask robust signal, liquid next-day",C,K2,-0.0003069433109117818,-0.5291305132484972,0.0018369711731738292,0.0008607846383049678
6,"Bid-ask robust signal, liquid next-day",C,T1,-0.0008798731398453885,-0.5855774910234813,0.004219467744810856,0.0033513365592451327
6,"Bid-ask robust signal, liquid next-day",P,K1,0.03349426308284017,1.0914629179397684,0.008524753628251558,0.005293989861096637
6,"Bid-ask robust signal, liquid next-day",P,T1,0.02484970525414824,3.1187367519271785,0.07677894559342435,0.046397308286448835
