run_name,cp_flag,denomination,model,factor,coefficient,newey_west_standard_error,t_statistic,p_value,observations,r_squared,newey_west_lag
strong_bid_ask_next_day_liquid,C,K2,market,constant,0.00012957397609428598,0.0001400102687604026,0.9254605197281917,0.3547264109412392,272,0.01816530092595048,3
strong_bid_ask_next_day_liquid,C,K2,market,spx_log_return,0.010102394213801696,0.005959105488193139,1.695287024842523,0.09002098500189888,272,0.01816530092595048,3
strong_bid_ask_next_day_liquid,C,K2,market_volatility_liquidity,constant,0.0001237269447650449,0.00014046062394960877,0.8808656923625287,0.37839051845602534,272,0.02247261564467551,3
strong_bid_ask_next_day_liquid,C,K2,market_volatility_liquidity,spx_log_return,0.010900100256197637,0.005916186641247937,1.842419943313082,0.06541374681907174,272,0.02247261564467551,3
strong_bid_ask_next_day_liquid,C,K2,market_volatility_liquidity,vix_z,0.000015124991107421088,0.00020131785740691655,0.07512990304108734,0.9401113558665133,272,0.02247261564467551,3
strong_bid_ask_next_day_liquid,C,K2,market_volatility_liquidity,log_option_volume_z,0.0002371517728583926,0.0002611771011543749,0.9080113524892003,0.36387222376024336,272,0.02247261564467551,3
strong_bid_ask_next_day_liquid,C,K2,market_volatility_liquidity,quoted_spread_z,0.00005878462564861587,0.00011797383264015413,0.4982852920267647,0.6182829730290467,272,0.02247261564467551,3
strong_bid_ask_next_day_liquid,C,T1,market,constant,0.00023833037353784988,0.0001393586415304263,1.710194437320308,0.08722992401265843,272,0.014954920715727016,3
strong_bid_ask_next_day_liquid,C,T1,market,spx_log_return,0.00629042716128129,0.0047449846788154785,1.3257002049691782,0.18493901951191355,272,0.014954920715727016,3
strong_bid_ask_next_day_liquid,C,T1,market_volatility_liquidity,constant,0.00022856647494548263,0.00013942795549527436,1.6393159760076195,0.10114747050716806,272,0.030456766561452464,3
strong_bid_ask_next_day_liquid,C,T1,market_volatility_liquidity,spx_log_return,0.007622508428833365,0.0071773942653460395,1.0620161227085476,0.2882283659511971,272,0.030456766561452464,3
strong_bid_ask_next_day_liquid,C,T1,market_volatility_liquidity,vix_z,0.00016566124820936975,0.00036072052638891605,0.45925096048113345,0.6460539591080565,272,0.030456766561452464,3
strong_bid_ask_next_day_liquid,C,T1,market_volatility_liquidity,log_option_volume_z,0.00014334890765939725,0.0001001366417734049,1.4315330045097339,0.15227751491516764,272,0.030456766561452464,3
strong_bid_ask_next_day_liquid,C,T1,market_volatility_liquidity,quoted_spread_z,-0.00009172405514587519,0.00011108196538429663,-0.8257330956339198,0.4089555139048848,272,0.030456766561452464,3
strong_bid_ask_next_day_liquid,P,K1,market,constant,0.0004000136401592461,0.0002534793990530106,1.5780913228202442,0.11454463136255423,272,0.005711517275146849,3
strong_bid_ask_next_day_liquid,P,K1,market,spx_log_return,0.007073248409991456,0.007212970413129741,0.9806290619348791,0.3267756974586648,272,0.005711517275146849,3
strong_bid_ask_next_day_liquid,P,K1,market_volatility_liquidity,constant,0.0003764049764503222,0.00023330224353666532,1.6133791546293772,0.10666215910570787,272,0.041013274708513014,3
strong_bid_ask_next_day_liquid,P,K1,market_volatility_liquidity,spx_log_return,0.01029416046485223,0.008305072472469125,1.2395027856742764,0.21515935777767614,272,0.041013274708513014,3
strong_bid_ask_next_day_liquid,P,K1,market_volatility_liquidity,vix_z,0.00045868464852035146,0.0003703405473089278,1.2385482817190132,0.21551283120704223,272,0.041013274708513014,3
strong_bid_ask_next_day_liquid,P,K1,market_volatility_liquidity,log_option_volume_z,0.00029834815513595187,0.0002324362324328824,1.2835699151254398,0.19929248194561697,272,0.041013274708513014,3
strong_bid_ask_next_day_liquid,P,K1,market_volatility_liquidity,quoted_spread_z,-0.0003476286891008389,0.00016153318392977603,-2.15205743268185,0.031392831215634374,272,0.041013274708513014,3
strong_bid_ask_next_day_liquid,P,T1,market,constant,0.00043958298208735436,0.0001240256729503541,3.5442902395160867,0.0003936716169742288,272,0.002749768303136113,3
strong_bid_ask_next_day_liquid,P,T1,market,spx_log_return,0.0021331066433496067,0.0025455943953653255,0.8379601429172217,0.4020530887758029,272,0.002749768303136113,3
strong_bid_ask_next_day_liquid,P,T1,market_volatility_liquidity,constant,0.00045024022037064006,0.00010723341778037764,4.198693184365036,0.000026845976983701738,272,0.12016277416520804,3
strong_bid_ask_next_day_liquid,P,T1,market_volatility_liquidity,spx_log_return,0.000679147720414849,0.002701224745579465,0.25142214527919954,0.8014877480165472,272,0.12016277416520804,3
strong_bid_ask_next_day_liquid,P,T1,market_volatility_liquidity,vix_z,-0.00007669125486282506,0.00007601338760705505,-1.008917735113638,0.3130140889190158,272,0.12016277416520804,3
strong_bid_ask_next_day_liquid,P,T1,market_volatility_liquidity,log_option_volume_z,0.00017261748898973587,0.00007778023917881313,2.219297482396478,0.026466492783966726,272,0.12016277416520804,3
strong_bid_ask_next_day_liquid,P,T1,market_volatility_liquidity,quoted_spread_z,-0.0004737625223082898,0.00013168764726818126,-3.5976231038851707,0.00032113851305409053,272,0.12016277416520804,3
